company_code,company_name,package_id,event_family,event_title,start_page,end_page,primary_pages,supporting_pages,all_pages,start_anchor,end_anchor,supporting_anchor,expected_outputs,is_mixed_page,is_non_contiguous,needs_manual_review,boundary_notes,evidence_excerpt
301563,云汉芯城,301563_overall_conversion_001,overall_conversion,2015年云汉有限整体变更设立云汉芯城股份公司,53,55,53|54|55,,53|54|55,二、发行人的设立情况（一）发行人的设立方式,（二）云汉有限的设立情况,,overall_conversion|equity_snapshot,yes,no,no,第53页页末开始整体变更；第54页披露审计、评估、折股、创立大会、验资及工商登记；第55页上半部完成11名发起人持股表，随后进入有限公司设立。,"云汉有限以2015年8月31日经审计净资产45,010,412.64元按1.1253:1折为4,000万股，余额5,010,412.64元计入资本公积。"
301563,云汉芯城,301563_establishment_001,establishment,2008年上海云汉电子有限公司设立及初始出资,55,56,55|56,,55|56,（二）云汉有限的设立情况,（三）云汉有限设立以来股本演变情况,,subscription_flow|equity_snapshot,yes,no,no,第55页下半部披露申请设立、50万元实缴、验资和工商登记；第56页上半部为设立时股权结构。,深圳云汉电子和刘云锋各以货币出资25万元设立上海云汉电子有限公司，注册资本50万元、各持股50%。
301563,云汉芯城,301563_historical_overview_001,historical_overview,2008—2020年云汉有限及股份公司股本演变概图,56,58,56|57|58,,56|57|58,（三）云汉有限设立以来股本演变情况,三、发行人股份公司设立后的股东变化情况,,manual_review,yes,no,yes,三页流程图汇总2008年设立至2020年9月的历次增资、股权转让及整体变更；第58页下半部开始2018年第一次股权转让详细披露。,概图显示公司自2008年设立后经历多次增资和股权转让，于2015年整体变更，并在2018—2020年继续融资和转让股份。
301563,云汉芯城,301563_share_transfer_001,share_transfer_flow,2018年4月股份公司第一次股权转让,58,59,58|59,,58|59,（一）2018年4月，股份公司第一次股权转让,（二）2018年6月至7月，股份公司增加注册资本暨第二次股权转让,,share_transfer_flow|equity_snapshot,yes,no,no,"第58页披露丰利财富向天健创投转让发行人666,680股及原因；第59页上半部完成转让后股权结构。","丰利财富以1,000万元将其持有的发行人666,680股、占总股本1.67%的股份全部转让给天健创投。"
301563,云汉芯城,301563_subscription_001,subscription_flow,"2018年6月至7月股份公司第一次增资至4,635万元",59,61,59|60|61,,59|60|61,（二）2018年6月至7月，股份公司增加注册资本暨第二次股权转让,（三）2019年8月，股份公司第三次股权转让,,subscription_flow|equity_snapshot,yes,no,no,同一节同时披露外部投资人增资、管理团队股权激励增资及第二次股权转让。本包仅对应增资流，但共享第59—61页的协议、工商变更、验资和变更后结构。,"外部投资人及四名管理团队成员认缴新增注册资本，发行人注册资本先由4,000万元增至4,264.3373万元，再增至4,635万元。"
301563,云汉芯城,301563_share_transfer_002,share_transfer_flow,2018年6月至7月股份公司第二次股权转让,59,61,59|60|61,,59|60|61,（二）2018年6月至7月，股份公司增加注册资本暨第二次股权转让,（三）2019年8月，股份公司第三次股权转让,,share_transfer_flow|equity_snapshot,yes,no,no,与同节第一次增资共享页面。第59页列明曾烨、刘云锋向富海节能、临港投资和鸿迪投资转让发行人股份；第60—61页为共同变更后的完整股权结构。,曾烨和刘云锋合计向富海节能、临港投资、鸿迪投资转让115.875万股发行人股份，交易价格约29.13元/股。
301563,云汉芯城,301563_share_transfer_003,share_transfer_flow,2019年8月股份公司第三次股权转让,61,62,61|62,,61|62,（三）2019年8月，股份公司第三次股权转让,（四）2020年5月，股份公司第二次增资,,share_transfer_flow|equity_snapshot,yes,no,no,第61页披露为赛咨询分别向李文发、秦国君转让40万股；第62页上半部完成转让后股权结构。,李文发、秦国君各以40万元受让为赛咨询持有的发行人40万股，两人同时退出为赛咨询。
301563,云汉芯城,301563_subscription_002,subscription_flow,"2020年5月股份公司第二次增资至4,748.0488万元",62,63,62|63,,62|63,（四）2020年5月，股份公司第二次增资,（五）2020年9月，股份公司第三次增资和第四次股权转让,,subscription_flow|equity_snapshot,yes,no,no,第62页披露火炬电子认购、工商备案和验资；第63页上半部完成增资后股权结构。,"火炬电子以5,000万元认购113.0488万股，发行人注册资本由4,635万元增至4,748.0488万元。"
301563,云汉芯城,301563_subscription_003,subscription_flow,"2020年9月股份公司第三次增资至4,883.7074万元",63,65,63|64|65,,63|64|65,（五）2020年9月，股份公司第三次增资和第四次股权转让,（六）对赌协议解除相关情况,,subscription_flow|equity_snapshot,yes,no,no,与第四次股权转让共享同一节。第63页披露厦门西堤、中小企业基金认购新增股份；第64页披露验资及共同变更事项；第64—65页为变更后完整结构。,"厦门西堤和中小企业基金分别认购96.899万股和38.7596万股，注册资本由4,748.0488万元增至4,883.7074万元。"
301563,云汉芯城,301563_share_transfer_004,share_transfer_flow,2020年9月股份公司第四次股权转让,63,65,63|64|65,,63|64|65,（五）2020年9月，股份公司第三次增资和第四次股权转让,（六）对赌协议解除相关情况,,share_transfer_flow|equity_snapshot,yes,no,no,第63页提供联合事件标题；第64页列明10笔发行人股份转让、登记和定价；第64—65页为共同变更后股权结构。,"曾烨、刘云锋、李文发、秦国君向8名受让主体合计转让1,659,535股发行人股份，价格约51.6元/股。"
301563,云汉芯城,301563_equity_snapshot_001,equity_snapshot,2025年3月25日发行人股权结构图,72,73,72|73,,72|73,五、发行人的组织结构（一）公司的股权结构图,（二）公司的组织结构图,,equity_snapshot,yes,no,yes,第72页页末为股权结构图标题，第73页为完整图。图中列示前十大直接股东及“其他股东18.80%”，同时向下展开发行人子公司；结构化时直接股东层允许保留其他股东汇总项。,股权图显示曾烨控制33.03%、刘云锋13.22%、力源信息10.25%等直接持股关系，并展示发行人对子公司的控制关系。
301563,云汉芯城,301563_equity_snapshot_002,equity_snapshot,本次发行前后完整股本结构,91,93,91|92|93,,91|92|93,八、发行人股本情况（一）本次发行前后的股本情况,（二）发行前本公司前十名股东,,equity_snapshot,yes,no,no,第91页下半部开始发行前后股本表，第92页列示第1—32名股东，第93页完成第33—34名股东、发行股本和合计后进入前十名股东表。前十名合计仅81.20%，不另建完整股东快照。,"发行前总股本48,837,074股，本次发行16,279,025股，发行后总股本65,116,099股，发行股本占25%。"
